week_id,event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,buy_date,sell_date,buy_open,sell_close,trade_return_pct
W1,E20251125,002792,通宇通讯,sz.002792,股权/基金直接投资,1.0,直接,通过空天基金重仓投资凌空天行,2025-12-09,2025-12-12,32.42,29.1,-10.240592227020361
W2,E20251125,002792,通宇通讯,sz.002792,股权/基金直接投资,1.0,直接,通过空天基金重仓投资凌空天行,2025-12-16,2025-12-19,35.21,32.14,-8.719113888099972
W3,E20251125,002792,通宇通讯,sz.002792,股权/基金直接投资,1.0,直接,通过空天基金重仓投资凌空天行,2025-12-23,2025-12-26,35.37,42.0,18.74469889737067
W1,E20251125,688033,天宜上佳,sh.688033,核心供应商,0.8,直接,材料/零部件供应链,2025-12-09,2025-12-12,6.86,7.29,6.268221574344013
W2,E20251125,688033,天宜上佳,sh.688033,核心供应商,0.8,直接,材料/零部件供应链,2025-12-16,2025-12-19,7.33,6.93,-5.457025920873127
W3,E20251125,688033,天宜上佳,sh.688033,核心供应商,0.8,直接,材料/零部件供应链,2025-12-23,2025-12-26,7.06,8.24,16.713881019830048
W1,E20251125,003009,中天火箭,sz.003009,核心供应商,0.8,直接,火箭/导弹链条供应,2025-12-09,2025-12-12,59.28,61.08,3.0364372469635637
W2,E20251125,003009,中天火箭,sz.003009,核心供应商,0.8,直接,火箭/导弹链条供应,2025-12-16,2025-12-19,63.4,62.51,-1.4037854889589862
W3,E20251125,003009,中天火箭,sz.003009,核心供应商,0.8,直接,火箭/导弹链条供应,2025-12-23,2025-12-26,62.5,70.83,13.328000000000007
W1,E20251125,600037,歌华有线,sh.600037,基金间接参股,0.45,间接,间接股权关联,2025-12-09,2025-12-12,7.54,7.33,-2.785145888594165
W2,E20251125,600037,歌华有线,sh.600037,基金间接参股,0.45,间接,间接股权关联,2025-12-16,2025-12-19,7.31,7.34,0.4103967168262779
W3,E20251125,600037,歌华有线,sh.600037,基金间接参股,0.45,间接,间接股权关联,2025-12-23,2025-12-26,7.31,7.31,0.0
W1,E20251125,600604,市北高新,sh.600604,基金间接参股,0.45,间接,间接股权关联,2025-12-09,2025-12-12,5.85,5.47,-6.495726495726495
W2,E20251125,600604,市北高新,sh.600604,基金间接参股,0.45,间接,间接股权关联,2025-12-16,2025-12-19,5.47,5.48,0.1828153564899626
W3,E20251125,600604,市北高新,sh.600604,基金间接参股,0.45,间接,间接股权关联,2025-12-23,2025-12-26,5.48,5.59,2.007299270072993
