statYear,m0Year,m0YearYOY,m1Year,m1YearYOY,m2Year,m2YearYOY
1952,,,,,101.300000,
1953,,,,,113.700000,12.240869
1954,,,,,132.400000,16.446790
1955,,,,,145.900000,10.196375
1956,,,,,175.000000,19.945168
1957,,,,,197.700000,12.971429
1958,,,,,313.200000,58.421851
1959,,,,,391.700000,25.063857
1960,,,,,409.100000,4.442175
1961,,,,,439.800000,7.504278
1962,,,,,436.200000,-0.818554
1963,,,,,436.600000,0.091701
1964,,,,,434.700000,-0.435181
1965,,,,,497.600000,14.469749
1966,,,,,566.300000,13.806270
1967,,,,,629.700000,11.195479
1968,,,,,666.900000,5.907575
1969,,,,,659.200000,-1.154596
1970,,,,,651.100000,-1.228762
1971,,,,,714.900000,9.798802
1972,,,,,754.900000,5.595188
1973,,,,,870.300000,15.286793
1974,,,,,936.800000,7.641043
1975,,,,,1017.500000,8.614432
1976,,,,,1084.600000,6.594595
1977,,,,,1107.300000,2.092937
1978,212.000000,,859.450000,,1159.100000,4.678046
1979,267.700000,26.300000,1069.360000,24.420000,1458.100000,25.795876
1980,346.200000,29.300000,1315.740000,23.040000,1842.900000,26.390508
1981,396.300000,14.500000,1636.560000,24.380000,2234.500000,21.249118
1982,439.100000,10.800000,1885.110000,15.190000,2589.800000,15.900649
1983,529.800000,20.700000,2165.040000,14.850000,3075.000000,18.735037
1984,792.100000,49.500000,2845.240000,31.420000,4146.300000,34.839024
1985,987.800000,24.700000,3011.390000,5.840000,5198.900000,25.386489
1986,1218.400000,23.300000,3856.030000,28.050000,6718.100000,29.221566
1987,1454.500000,19.400000,4481.670000,16.220000,8252.800000,22.844257
1988,2134.000000,46.700000,5490.170000,22.500000,10099.600000,22.377860
1989,2344.000000,9.800000,5830.510000,6.200000,11949.600000,18.317557
1990,2644.400000,12.800000,6950.700000,,15293.400000,27.982527
1991,3177.800000,20.200000,8633.300000,24.200000,19349.900000,26.500000
1992,4336.000000,36.400000,11731.500000,35.900000,25402.200000,31.300000
1993,5864.700000,,16280.400000,38.780000,34879.800000,
1994,7288.600000,24.300000,20540.700000,26.200000,46923.500000,34.500000
1995,7885.300000,8.200000,23987.100000,16.800000,60750.500000,29.500000
1996,8802.000000,11.600000,28514.800000,18.900000,76094.900000,25.300000
1997,10177.600000,15.600000,34826.300000,16.500000,90995.300000,17.300000
1998,11204.200000,10.100000,38953.700000,11.900000,104498.500000,14.800000
1999,13455.500000,20.100000,45837.300000,17.700000,119897.900000,14.700000
2000,14652.700000,8.900000,53147.200000,16.000000,134610.300000,12.300000
2001,15688.800000,7.100000,59871.590000,12.700000,158301.900000,14.400000
2002,17278.030000,10.100000,70881.790000,16.800000,185006.970000,16.800000
2003,19745.900000,14.300000,84118.570000,18.700000,221222.800000,19.600000
2004,21468.300000,8.700000,95969.700000,13.600000,254107.000000,14.700000
2005,24031.700000,11.900000,107278.800000,11.800000,298755.700000,17.600000
2006,27072.620000,12.700000,126028.100000,17.500000,345577.900000,16.900000
2007,30375.230000,12.200000,152560.080000,21.100000,403442.210000,16.700000
2008,34218.960000,12.700000,166217.130000,9.100000,475166.600000,17.800000
2009,38247.000000,11.800000,221445.800000,33.200000,610224.500000,28.500000
2010,44628.200000,16.700000,266621.500000,21.200000,725851.800000,19.700000
2011,50748.460000,13.800000,289847.700000,7.900000,851590.900000,13.600000
2012,54659.810000,7.700000,308664.200000,6.500000,974148.800000,13.800000
2013,58574.440000,7.200000,337291.050000,9.300000,1106524.980000,13.600000
2014,60259.530000,2.900000,348056.410000,3.200000,1228374.810000,12.200000
2015,63216.580000,4.900000,400953.440000,15.200000,1392278.110000,13.300000
2016,68303.870000,8.100000,486557.240000,21.400000,1550066.670000,11.300000
2017,70645.600000,3.400000,543790.150000,11.800000,1690235.310000,8.100000
2018,73208.400000,3.600000,551685.900000,1.500000,1826744.200000,8.100000
2019,77189.470000,5.400000,576009.150000,4.400000,1986488.820000,8.700000
2020,84314.530000,9.200000,625580.990000,8.600000,2186795.890000,10.100000
2021,90825.150000,7.700000,647443.350000,3.500000,2382899.560000,9.000000
2022,104706.030000,15.300000,671674.760000,3.700000,2664320.840000,11.800000
2023,113444.640000,8.300000,680542.520000,1.300000,2922713.330000,9.700000
2024,128000.000000,13.000000,671000.000000,-1.400000,3135000.000000,7.300000
